DSI Project,description,tech,tags,url,open democracy,new ways of making,awareness networks for sustainable change,collaborative economy,open access,social innovation
Funded European work exchange programme,The Pioneers into Practice Programme (PiP) was created to incubate. accelerate and produce a new generation of highly skilled specialists. social entrepreneurs and innovators to enable the transition to a low carbon economy in Europe and beyond. PiP aims to create a community which combines interdisciplinary and technical knowledge with management ability. through experiential work based learning. promoting the mobility of professionals between research and education. trade and the public sector.,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/8e3063aa-62e3-4873-f333-b9757a97266e,,,,,,1
Helping people to plan and take control of their care and support services,Our co-design by peers for peers model extends to our democratising peer to peer technology platform. which is fundamental to our efforts. It puts people in control of their own care and support solutions. The customer chooses how they want to plan their care and support from a range of our online and face to face care & support planning tools and services - from choosing their own Support Broker to Do Your Own plan with the help of a peer coach. complete with comprehensive information. advice and guidance. Once completed to the customer’s satisfaction the online care & support plan is a dynamic and collaborative tool connecting them to their family. supporters. service providers and funding agencies for collaborating together. Through this online Personal Support Network the customer controls exactly what part of their plan is seen by each member of their Support Network. They can nominate people to have access to manage this online resource for them or with them,,,http://data.digitalsocial.eu/id/activity/541a38b5-f197-f26a-6cd4-cf94ac04d55f,1,,,,1,
QuienManda.es,Quién Manda monitors hidden lobbying activities. gathering collaboratively pictures of meetings and events involving high profile individuals. and combining them with official data sources. The result: a thorough and highly visual display of the relations among social. political and economic elites. and an open repository of graphical evidence for journalists and citizens. Pinterest meets They Rule. Our goal is to raise awareness about the transparency deficit in Spain in order to promote a legislative change forcing the creation of a lobbyists’ register and the publication of officials’ agendas.,open-data,participation-and-democracy,http://data.digitalsocial.eu/id/activity/45fec555-97e6-35bc-3c36-6ddf0f38c82e,1
The International Ridesharing Day,The International Ridesharing Day on Oct 4th is for and by ridesharers everywhere. all around the world. We celebrate all kinds of environmentally safe travel that you do together with others. This means buses. trains. balloons. sailboats. cars and other vehicles -as long as you share these vehicles. And we connect all over the world with the hashtag #RidesharingDay . See the event here https://www.facebook.com/events/230243410460559/ and www.ridesharingday.com . Later this week there will also be a longer article up on ouishare.net,open-networks,participation-and-democracy energy-and-environment,http://data.digitalsocial.eu/id/activity/7abf1b6d-9083-7cd3-031a-702d59675b0a,,,,1,,
Technology for Social Development,At Tenzing - Urbegi. we develop technology to cover and support the social development of regions and the social inclusion of people. We have developed a smart platform called Territorial Development System to integrate data from different social platforms (citizen participation. mobility. crowdfunding. job opportunities. etc.) and extract knowledge detecting patterns among the participation of all social stakeholders.,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/7550b5e2-2e7e-5002-27dd-96bbcdcd217c,1,,1,,,
Open Source Ridesharing,We've released an Open API connected to our ridesharing system and during 2014 we want to release our whole system as open source to help developing countries with ridesharing.,open-networks,participation-and-democracy energy-and-environment,http://data.digitalsocial.eu/id/activity/e91082c0-82ad-db60-ec49-cd502211fbe6,,,,1,1,
Cleaning Day,Siivouspäivä. Cleaning Day. is a new day of celebration for friends of secondhand and urban culture. It turns cities into giant seconhand markets. where anyone can sell or give away their old things. Next time on the 24th of May 2014.,open-networks,participation-and-democracy culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/535de8a9-180f-6133-cdde-c9eda88b3fae,,,,1,,
Tweetlocal,A community information hub. where the events calendar is populated by twitter. The first trail site is www.hubstroud.org.uk,open-networks,local-community-information,http://data.digitalsocial.eu/id/activity/a3f44cc2-d1cd-1fbd-7802-d85221033999,1
Fix the web,Crowdsourcing web accessibility by asking disabled people to report problems ad volunteers to take them up with website owners,open-knowledge,website-and-software-accessibility,http://data.digitalsocial.eu/id/activity/c2356002-d21b-9c29-7bf1-dd197d661246,1
FLOW,"Just selected as Social Entrepeneur of 2013 with the Entrepeneurs Institute in Bali aka Roger Hamilton.  FLOW our Global Education & Environment Project. For the Love of the World ;.celebrates the beauty & fragility of the natural world through eyes of its children. Working with the Greenest School on Earth The Green School in Bali. of which Roger is chair. A founding Ambassador for new Global Entrepeneurs Platform Merit*Enabling student opportunities. Entrepeneurship & applied creativity to work hand in hand!Impacting young people in & out of school. to use the Arts & Creativity as a catalyst to promote positive change!Our ventures & film making . Access to the Media & the outdoors. is endorsed by Lord David Puttnam & artist & conservationist David Shepherd!Dedicated to leaving a happier. healthier planet behind us. for our children & those to come than the one we have now! ""http://youtu.be/sbBFS_ZYKfA ",,,http://data.digitalsocial.eu/id/activity/f3b39b02-5b48-e7d1-d793-ff8a40655efa,,,1,,,
Temp,,,,http://data.digitalsocial.eu/id/activity/9ae3134c-6d95-66cd-01da-90a503c87579,
Random Acts of Kindness,The Social Coin is a for-profit organization fully dedicated to producing and distributing coins that initiate chains of random acts of kindness. which can be followed and measured.,,,http://data.digitalsocial.eu/id/activity/f1331264-3a44-ecf6-bdad-b35cad843044,,,,1,,
Por un uso social y comunitario de la tecnología,Saregune es un centro de desarrollo comunitario. un espacio de encuentro desde el que queremos potenciar el uso libre y gratuito de las tecnologías como herramienta para la dinamización social y comunitaria del Casco Medieval de Vitoria-Gasteiz.Es un servicio pensado para fomentar el acercamiento individual a las tecnologías. ayudar a que grupos e iniciativas sociales del barrio aprovechen sus ventajas y promover el acceso a la información y comunicación que nos ofrecen para la reactivación comunitaria de la zona.,open-networks,la-educacin-y-las-habilidades la-participacin-y-la-democracia el-trabajo-y-el-empleo,http://data.digitalsocial.eu/id/activity/4d9facf1-16b1-200a-fa5c-75d23c0215e7,1
Afsnit I - Innovation Competition and festival,"Afsnit I is an innovation competition. camp and festival. Indie level innovators can apply within four categories of which one is ""Imagine Access"" focusing on how to use big data /data as design material for a better world. The chosen applicants move in to an empty building and lives together for five days working on their projects with the help of various coaches. each other and the public. The winner gets away with 13.500€ for the realization of the idea. ",open-data,work-and-employment participation-and-democracy education-and-skills science culture-and-arts,http://data.digitalsocial.eu/id/activity/b11cd9aa-9fe6-d574-232e-456c51f0aa3d,,1,,,,1
Crowdfunding,,,,http://data.digitalsocial.eu/id/activity/fbeb12a3-4d0c-df8d-9b1f-5b532b3a9c98,,,,1,,
Crowd-sourcing  ,,open-knowledge,,http://data.digitalsocial.eu/id/activity/e889fbe7-57ce-5f27-943e-d6ea49042eeb,,,,1,1,
web presence research  ,We research the web presence of organisations from various domains (education. R&D. cultural etc.),,,http://data.digitalsocial.eu/id/activity/b92a5f71-7c6b-4ad4-4732-a8db7b583460,1,1,1,1,1,
Research Identity on Internet,In this new scenario of social web could conclude that the paradigm around these networks creates both a new right as the right to identity ( also as a collective common ) . In fill those gaps for us and that currently are being filled by companies ( which have emerged as the owners of our friendly relations 1:1 or 1 : N in social networks ) is perhaps. in my opinion . the next step . And this time of transition between those of us ( and we will be ) the only hybrid generation . the one generation before the so-called digital natives . there is a key situation for what is coming . Let us move away from paternalism but do not forget the responsibility we have to make things right . Recognize each other ‘s right to collective ownership of our digital relationships understood (often as an extension of the same in the physical spectrum ) that we are being expropriated by large corporations in pursuit of wealth generation based on own digital commons is the society.,open-networks,,http://data.digitalsocial.eu/id/activity/b1aaa49e-c64b-a45d-5cc6-187e5f7cf03c,,,,,1,
Fusebox Brighton,Helping creative startup founders develop their ideas into viable business models.,,,http://data.digitalsocial.eu/id/activity/870906a3-f559-9357-e062-f67f0b23078b,,1,,,,
Djs Academy,,,,http://data.digitalsocial.eu/id/activity/d8eb2568-25a0-e50d-d983-d1a995fc0007,
Crowdsourcing legislation,We experiment in crowdsourcing and deliberation in order to suggest well-prepared changes to the existing legislation in Finland. Law proposals - prepared ultimately with the help of volunteer lawyers - are passed to Parliament if they gather 50 000 supporters (online and on paper). This was enabled by a 2012 constitutional amendment.,,,http://data.digitalsocial.eu/id/activity/6892f0af-5155-1ebd-0df6-4417da5e93f4,1,,,1,,
WpLicense,Creation of an official Creative Commons plugin for Wordpress. allowing blog authors to openly license their content easily and flexibly.,open-data,education-and-skills open-content,http://data.digitalsocial.eu/id/activity/e6619ab3-a7d3-6e6d-348c-975b2931df41,,,,,1,
AVO2,AVO2 project. powering learning networks through openness.,open-networks,work-and-employment participation-and-democracy education-and-skills neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/6e9e0fdc-4cef-bdd9-215c-3b7e4dffe479,1,,,,1,
Research,P2P,open-networks,digital-fabrication community co-design user-centered-design open-design fablab,http://data.digitalsocial.eu/id/activity/f58103cc-d53c-3b84-997c-de5b64d1baba,,,1,,,
FabLab development,,open-networks,work-and-employment participation-and-democracy neighbourhood-regeneration community manufacturing,http://data.digitalsocial.eu/id/activity/b56324ce-b146-b109-95dd-33c3fc26676a,,1,,,,
Education,,open-networks,work-and-employment education-and-skills culture-and-arts energy-and-environment,http://data.digitalsocial.eu/id/activity/89d28bf4-b960-329b-2eb8-725f58ae7b9d,,,1,,,
mindhoven platform,,open-networks,work-and-employment health-and-wellbeing participation-and-democracy,http://data.digitalsocial.eu/id/activity/3f9c72cb-8050-eb3c-4bb8-ab623a0ded27,1,1,1,,,
Gamification and Open Badges,"increasing motivation for learning, validation of learning outcomes incl. in-formal and non-formal learning and learning pathways;",open-knowledge,work-and-employment education-and-skills,http://data.digitalsocial.eu/id/activity/01594771-b101-5d17-48cc-bef7464cd650,1
European Union social capital wiki,Gear the use of social media towards the co-creation and presentation of open content in a livelihood-centric manner. that is as social capital wiki.Phases: (1) add structured tags to posts or tweets  (#ISICtags. #COFOGtags. locality based) as explained in Social media for livelihood-centric knowledge conversion (a page in the Actor Atlas). Do this on various social platforms (Facebook. Twitter. Google+).(2) Anyone's simple search for a tag will render the conversation (on the social platform).(3) Any social media curator can use the free collaborative curation service Spundge to merge into a single time line posts and tweets from a range of social platforms. (4) Collaborative harvesting the conversation into domestic and local social capital wiki pages for economic activities. functions of government.,open-knowledge,participation-and-democracy education-and-skills,http://data.digitalsocial.eu/id/activity/9735facf-db5c-e2b5-cbd3-d98c144f4dc8,1
virtual accelerator,A community powered virtual platform specially designed to drive innovation into successful businesses.Our scalable platform. with no limits on the number of participants and location. enables more ideas. more business opportunities. fast and large scale validation. more interest by VC companies and mentors. and get wider recognition. We provide tools and services for business growth. like market product fit. strategy and validation tools. funding (Investors. angels. crowd and public money). community (validation. traction. crowd wisdom and partnering). matchmaking. mentorship and on top of these. we offer world class acceleration and incubation program,open-networks,work-and-employment science,http://data.digitalsocial.eu/id/activity/20c5d664-0502-c89e-b918-42a9c2679e6c,,,,,,1
CATI. BrainScope. HeartScope. PhysioCord. Common Language Concept,Description of the ICS Dr. G. Roscher GmbHThe ICS Dr. G. Roscher GmbH (ICS - Intelligent Computer Systems) is a SME in Germany.  ICS was founded in 1991. to develop. manufacture and trade Intelligent Computer Systems for medical and industrial applications. The topic of our R&D-activities and products is the patented method for real time analysis.  recognition. and understanding of noisy biological signals as EEG. ECG. video. technical signals up to Phoneme recognition in natural speech. The EEG system BrainScope consists of efficient algorithms implemented for a powerful multi-processor system (Grid)  that recognizes EEG activity as Event Related Potential (ERP) in real-time. These methods are integrated into a powerful graphic user interface and use a Database and Knowledge Management System (DB&KMS). Incorporated into this user interface are state of the art EEGSYS algorithms from the NIMH (Washington / USA) for mappings. FFT. etc. A video-system is integrated in the system for watching a patient.The ECG system HeartScope is based on the technology of the BrainScope. With the HeartScope a physician can recognize the electrical activity of the heart in the dynamic in time and space in real-time. Portable devices - PhysioCord - using low power technology can store. recognize and transmit biological signals as the ECG wireless and in open field.The strategy of our R & D activities is oriented on the application of IST and will be developed from signals. signal acquisition. classification and recognition in to knowledge. administered by the DB&KMS. designed as communicative system. acquiring the knowledge from the  leading experts. ,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science,http://data.digitalsocial.eu/id/activity/3f9d4056-63a1-d711-6154-a008d9a8ac86,
Developing a collaborative editing platform for information about companies' behaviour with respect to their society. environment,Wikirate.org is a platform for social change. Through a collaborative editing platform we allow users to make positive or negative claims about the behaviour of companies.  Users can make claims. or browse previous claims by topics. industries or company. Users can also benefit from seeing how companies perform with respect to a certain topic (for example. environmental integrity).,open-networks,sustainability consumption-behaviour,http://data.digitalsocial.eu/id/activity/18cdbf8c-3ca0-2636-d705-0b6ecdae60d6,1,,1,,1,
TIMU _ community STORYTELLING platform,timu (“team” in Swahili) is a community STORYTELLING platform for individuals. groups and organizations willing to contribute to civic media initiatives.  The platform (www.timu.it) provides:-    a shared method to gather information;-    assurance that contents is the property of those who post them;-    a personal profile and domain name;-    the chance to take part in collaborative inquiries; -    an opportunity to learn together;-    direct exposure to major media outlets.,open-networks,science culture-and-arts neighbourhood-regeneration social-enterprise innovation,http://data.digitalsocial.eu/id/activity/a80bee22-34f0-2f9d-3d27-604b75365cab,,,,1,,
Agenda del Henares,A distributed collaborative agenda for the region of the Henares Valley.,open-knowledge,participation-and-democracy local-community-information,http://data.digitalsocial.eu/id/activity/0b37851f-fe48-08f7-cf26-85db84bcc9f3,1
MultipliCities,MultipliCities connects walking artists & audiences to digital tools. & to cultural tourism economies & infrastructures. It revolutionises the creation. sharing & experience of artistic walking. scaling & transforming this practice. It innovates into tourism. encourages diversity & offers enterprise opportunity to artists & neighbourhoods. It includes the MultiWalks mobile app and the ReWalk Europe initiative.,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills culture-and-arts finance-and-economy neighbourhood-regeneration social-enterprise tourism urban-development regeneration race-equality migrant-rights young-people,http://data.digitalsocial.eu/id/activity/2d919380-d9ee-12ec-56db-4932cd7f31af,,,1,,,
Wagn,open source wiki-inspired database/cms platform,open-networks,participation-and-democracy education-and-skills,http://data.digitalsocial.eu/id/activity/96c91954-45a1-d645-3ad3-41a3b4f98135,,,,,1,
Corporate Crowdfunding,We design custom crowdfunding programs for corporations that want to offer their employs a better. more engaging solution to fund social change.,open-knowledge,health-and-wellbeing education-and-skills finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/084a1d01-25c4-3dc2-bdfd-a74d6b278854,,,,1,,
CONCORDnet,"Somos Más Europe and CONCORD. the European NGO confederation for relief and development. are collaborating hand on hand with the mission to foster open communication and participation across international NGOs. citizens. government and worldwide partners. Fruit of this partnership ""CONCORDnet: the collaborative network"" was created. This project aims at enhancing collaboration. improving cooperation between countries and enabling CONCORD to engage its members in a more open and participative way",open-networks,participation-and-democracy development,http://data.digitalsocial.eu/id/activity/021aed85-61bf-95b3-5b15-9369c62021ee,1
Hosted software,We offer free hosted software for community currencies such as LETS and timebanks.Our support team enables communities to have a high degree of control over the software.,open-networks,finance-and-economy neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/9b2a3761-f93b-fe28-a79f-474b66ff2237,,,,1,,
Encouraging informal sharing of skills in community settings. Skills learnt and enhanced online & communicated to a wider community digitally.,We aren't hip and uber cool techie types. We are local people who know our communities have a passion for learning. sharing skills and getting together to gab (northern term). We (1) encourage someone to learn then share a skill(2) help that person learn stuff online. Anything from making a pom pom to how to register to vote(3) give them a space and resources to facilitate a learning session(4) encourage them to develop their skills(5) get them to blog (6) pay them if they are great!,open-data,health-and-wellbeing participation-and-democracy education-and-skills neighbourhoods community digital-inclusion tackling-isolation skills routes-to-employment,http://data.digitalsocial.eu/id/activity/2bbbdcd0-27e5-07de-8106-14e38c08624c,1,1,,1,,
Casserole Club,Casserole helps people share extra portions of home cooked food with others in their area who are not always able to cook for themselves.,open-networks,health-and-wellbeing isolation-and-loneliness,http://data.digitalsocial.eu/id/activity/0c48e710-b721-16f7-f557-132740a67b05,,,,1,,
Business Social Network,GroupedIn brings the power of social networking to your company. GroupedIn is as easy to use as Facebook and Twitter. but is designed for organisations to collaborate. share knowledge. and create support and opportunity.Whether your company is a small start-up or has offices worldwide. GroupedIn can help your staff share content. ask questions. give feedback. discuss issues and support new ideas. all this and more via the GroupedIn social platform.,open-knowledge,local-community-information local-community-government-and-environment,http://data.digitalsocial.eu/id/activity/db153667-58e1-a4e0-4c35-8e2c4ad73a6e,1,,,,1,
Interaction between man and landscape,"In the VI century begins a phenomenon of ""de-construction”of the symbols of power of the Roman Empire. Not only does the Empire disintegrate physically. but also on an organisational level what was once the centralised and specialised production structure cannot function anymore. due to the disruption of the procurement routes.That brought forward an organisational change in the productive structure. which from highly specialised becomes complex and sophisticated. Now workshops comprehend several processes in what can be described as a sort of self-contained system. Productive structure has evolved to the medieval model. In several small villages. in what were the Roman Provinces. the luxury villas of the aristocracy had their materials stripped off and their function transformed in workshops. where their often luxurious materials were re-used. It seems consistent with a socio-economic metamorphosis and a transposition of the production from the centre to the periphery. Our project will model this technological and socio-economic evolution using a contemporary parallel in the first case study of Apulia. Italy.The analogy used is. that during the 50s-70s the big factories of the North of Italy and the North of Europe (the big production centres). highly specialized and organized in assembly lines provoked a mass movement of labour force away from Apulia. In the 2000s we observe the reverse phenomenon. the return of the “sons” of that generation towards the South. and the periphery. This is accompanied by the opening of small new productive entities. usually benefiting from skills acquired through post-graduates studies and work experience abroad. principally in the UK.This paradigm aims to: integrate cultural heritage in modern life. creating further awareness; describe the phenomenon of modern interaction between people and landscape. and to generate awareness towards environmental issues and possible solutions.The initial output of the research will be: A 250 page photography book. which will be released on 1 August 2014. ",open-knowledge,work-and-employment culture-and-arts energy-and-enviroment,http://data.digitalsocial.eu/id/activity/c4efba54-1799-4431-46b9-7b5fedf9355b,
The Forgotten Box,How much space is there in a museum? How many objects cannot find space on the exhibition showcases? Often. small objects such as fragments of metal artefacts or small glass beads or scrap of textiles do not find their way to the lit shelves of glory. Yes. these objects may not fulfil our common sense of aesthetics and significance. but is our heritage only aesthetics? And what is significance? More and more voices in the field have recently been underlying the wide range of values attributed to our heritage. both tangible and intangible. Therefore. the amount of knowledge necessary to produce these little objects is central to our understanding of and connection with our past! What and who is hidden behind those little “insignificant” objects?The forgotten box aims to re-discover the technical abilities and knowledge hidden behind any such object and give voice to the human master that made them. The project will retrace the routes of material procurement and knowledge transfer of the ancient artisans and re-install the sense of cultural belonging to the local rural areas.The case study selected for this project is a collection of objects stored at the Petrie Museum of Egyptian Archaeology at UCL in London. and its associate findings stored at the Coptic Museum. Cairo.MOVImenti aims to generate:- A 3D virtual exhibition environment to be presented at the two museums and then to travel the journey of the reconstructed craftsman workshop locations and procurement route.- An educational game to be distributed on social media focussed on the production processes,open-data,participation-and-democracy education-and-skills culture-and-arts neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/52749040-7a24-410d-4a36-6a308eee0036,
Superhub,SUPERHUB (SUstainable and PERsuasive Human Users moBility in future cities - Co-financed by the European Commission - Grant agreement no.: 289067) is a Eropean co-funded project that involves 20 partners strongly committed in the realisation. by 2014 and after 36 months of research. development and large-scale test. of an open source platform and mobile app able to plan customised urban routes. combining in real time all mobility offers.,open-networks,health-and-wellbeing science energy-and-environment smart-cities sustainable-mobility ict,http://data.digitalsocial.eu/id/activity/90d2e3b2-64c8-1acf-9697-187497027083,1,,1,,,
sharing things with your neighbours,this includes lending and borrowing. and giving away and picking things up.,open-networks,strengthened-communities,http://data.digitalsocial.eu/id/activity/2122b672-7724-5feb-c166-7d7306180c35,,,,1,,
Pride Of Place - A digital mapping project,Full Circle Arts want to give unheard people and places who are marginalised. stereotyped and misrepresented the chance to make their own positive marks on the map. Placing themselves in ‘Pride Of Place’To do this we are creating a digital mapping project. collecting personal stories both digitally and in person throughout Greater Manchester. and then displaying them in an innovative fashion. online using trans-media (or across media) techniques and in a physical location/s.ObjectiveTo  give opportunity for people to tell their own stories and show them (and give them the skills) how in the ‘digital age’ it can be easy to have a voice for your own community. Showing the stories in an aesthetic and ‘artistic’ way will be essential to gain an audience amongst the noise in the digital space.,open-knowledge,participation-and-democracy culture-and-arts neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/b709b7e0-82a7-b474-553a-d14ee444af55,1,,,,1,
Neighbours helping each other,You can use the NCH WebPlatform to connect with your Neighbours and friends to ask for and offer help. You can also form groups of interest and which can be open or private ones,open-networks,health-and-wellbeing creating-resilient-communities improving-neighbourhoods encouraging-more-self-help-and-independent-living greater-engagement-and-participation-in-localities,http://data.digitalsocial.eu/id/activity/ad8ecba4-95cd-9b2c-eb68-8cce3a6dbe6e,,,,1,,
Multimedia and digital game design,We are a Social Enterprise organisation that is passionate about community empowerment. We undertake various projects that propel people towards achieving their creative potentials through a combination of Funtional Skills in ICT  and multimedia that allow individuals to work confidently. effectively and independently.,open-networks,work-and-employment education-and-skills culture-and-arts energy-and-environment,http://data.digitalsocial.eu/id/activity/f5102c71-fee1-8db4-71f0-3950edfac39a,1
Sheffield Community Network,We are a partner in this project which is supporting the development of digital media centres in communities in Sheffield and supporting new and growing social enterprises.,open-networks,work-and-employment participation-and-democracy education-and-skills neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/74548454-34c7-b6db-1917-2958a0bfbb21,,,,,,1
Smart Journey,Realtime travel & weatherfor Aberdeen and Aberdeenshire,open-data,participation-and-democracy,http://data.digitalsocial.eu/id/activity/019d3361-7cd8-cff0-383b-d4b32ae72f4b,,,,,1,
Hampshire Linked Data,Provides a selection of Linked Open Datasets from Hampshire County Council. regarding Land Supply.,open-data,participation-and-democracy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/66217cf9-707d-e0dd-26ef-e361c076022f,,,,,1,
Digital Enlightenment Forum (DEF),DEF is a non-profit association bringing people and organisations together for multidisciplinary debate and policy development concerning digitisation and society. We organise a yearly Forum. publish our scientific Yearbooks and discuss at workshops. conference sessions.,open-data,participation-and-democracy science technology innovation law society privacy human-rights social-values,http://data.digitalsocial.eu/id/activity/2fb63172-de42-6524-8457-3f764bf5213a,1,,,,,1
foo,fdsfsad,open-hardware,neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/f682ba63-92b4-9bc4-c629-32de91cd65d0,
Online access to healthcare,DrDoctor allows patients to manage their appointments online. leading to better health outcomes and an improved hospital service.,open-data,health,http://data.digitalsocial.eu/id/activity/681d5f7c-896a-11b3-54fa-5bb44892d6a4,1,,,,1,
Forum InnovAfrica ,nnovAfrica. un évènement pour la mise en réseau des porteurs d'initiatives sur les usages innovants au Sud en matière de technologies et d'innovation sociale pour le développement. La finalité du forum est d'initier des projets de transformation sociale.,open-networks,work-and-employment participation-and-democracy education-and-skills science energy-and-environment technology innovation internet,http://data.digitalsocial.eu/id/activity/f8e38e73-33fc-aced-ebd8-61e856b0973d,,,,,,1
Volunteer Passport,"The Volunteer Passport is a civic engagement tool that allows Volunteers to record their achievements in the community and to keep a record  of ""on-going of skills"" which utilises the Mozilla Open Badge system.  This tool is a ""bottom-up"" approach tool that disrupts the current way that volunteers are linked to opportunities in within the  wider community. The Volunteer Passport  releases the responsibility of administration by the Volunteer Involving Organisations (VIO's). allowing the Volunteer to organise their own civic action.     ",open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/5d63ca8a-47a3-e045-e248-18bb69eae921,1,,,1,,
Poietic Generator,Poietic Generator is a free social artwork for all. a network game that can be played on mobiles. tablets & desktop computers. Poietic Generator is also a citizen science research @ Free University of Brussels studying crowd phenomena on internet and city experiments (Everywhere). ,open-networks,participation-and-democracy education-and-skills culture-and-arts cities literacy digital-humanities,http://data.digitalsocial.eu/id/activity/1449d14c-b2e6-fe7d-1791-15dbf27d12ac,,,1,,,
Business School in Cornwall,Develop an Undergraduate Business Studies that is premised around the Principles of Responsible Management Education (www.unprme.org) ,open-data,work-and-employment health-and-wellbeing education-and-skills finance-and-economy energy-and-environment,http://data.digitalsocial.eu/id/activity/077b30ab-c238-ada8-7eed-e728f0c938c2,
Open Bidouille Camp,,open-knowledge,health-and-wellbeing education-and-skills energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/7334b3e5-0c6b-eb1b-2c88-0691a91b42de,1,,1,,,
Independent film criticism,Festivalists aims to re-discover the real dynamic of festivals and special events in the Digital Age through text. image. sound. and video. ,open-networks,education-and-skills culture-and-arts neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/3ae6d05c-0dea-ee04-464d-b082921b26f5,
Developing a collaborative platform for language learning,Concept: collaborative language learning in communities of shared goals and interests.Vision:    Co-learn languages with relevant contents shared with your peers.Develop your creativity.Share professional tacit knowledge.Explore new cultural and business opportunities.Form your own opinion through your own networks.,open-knowledge,education language,http://data.digitalsocial.eu/id/activity/0f22a42d-130c-c765-58ac-6c7d752ad86c,1,,,1,1,
Robotique ludique ,Sharing knowledges and building things together. we show and explain sciences and technology ,open-networks,education-and-skills science,http://data.digitalsocial.eu/id/activity/d78b4f9c-40d3-0144-2c4d-b5c0b19d4841,,1,,,1,
Learning to code,Underprivileged people learn to code/programme #Ruby to get a job. realize their dreams. launch their projects... ,open-networks,work-and-employment participation-and-democracy education-and-skills social-entrepreneurs,http://data.digitalsocial.eu/id/activity/3b94c27b-5255-4e49-d45b-874b1aa79399,,1,,,,
age research,High volume data analyses to advance understanding of ageing and also development of clinical tools to improve the health-span of society,open-knowledge,science health ageing all-areas-improving-preventative-health-strategies-for-all-ages sport fitness regenerative-medicine preventative-medicine self-tracking social-health-networks doping-control,http://data.digitalsocial.eu/id/activity/c5f0ec10-e8fa-773f-9f51-09a533e2241d,1,,,,1,
Changing the World,At EveryOne. We create products and services that can impact the live of every personn. We built the first food community that rewards with money their users : Recipay.com. And this is only our first project . We advice and helps brands and high tech companies to find new business opportunities.,open-networks,food social-enterprise money give-back-economy,http://data.digitalsocial.eu/id/activity/6448e79b-97f7-5092-c94c-87207b5409cb,,,,1,,
organising international seminars. workshops and study visits,The most important project of the Eastern Institute is the Economic Forum.  Over the period of more than ten years. the Forum has become an important and recognized event in this part of Europe. In its efforts related to the Forum. the Eastern Institute is supported by the Programme Council. The Council sets the content and programme of the Forum. and gives direction to its further development.,open-data,health-and-wellbeing education-and-skills grassrooted-sport,http://data.digitalsocial.eu/id/activity/4356ce62-6bb9-8ff3-106c-901547d0203f,
The Centre - Edelman Brussels forum for Public Engagement,The Centre is Edelman Brussels’ forum for debate. allowing people engaged in shaping Europe’s development to share ideas and views. It is both an incubator of ideas – hosting seminars. round tables. book launches. debates and a range of social events; and an instigator of ideas – collaborating with think tanks. foundations and other thinking communities globally to provide a different perspective and revitalise debate on the major issues of the day.,open-data,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration technology privacy grassroots,http://data.digitalsocial.eu/id/activity/b1321892-437f-9692-943e-ae79381b9437,
ICT and e-participation research,,open-data,participation-and-democracy,http://data.digitalsocial.eu/id/activity/1df98998-a6b1-0fdf-d2d5-641f392fb8f8,1
COSMOS ,On-line Social Media Observatory -- analysing social media data for supporting social good.,open-networks,health-and-wellbeing participation-and-democracy culture-and-arts,http://data.digitalsocial.eu/id/activity/e9bc2d20-6d1e-7b35-d041-cf6b620e4833,1,,,,1,
artist led projects,The studio is creatively engaged at the highest level with projects that negotiate the challenging relationship between creative thinking. digital technologies. analogue techniques and traditional media. Promoting and encouraging inter-disciplinary collaboration. DIVAcontemporary explores diverse opportunities and new platforms that facilitate critical and creative engagement.,open-networks,culture-and-arts,http://data.digitalsocial.eu/id/activity/875fdafe-13f0-abff-b218-fb3348677b62,1
e-mentoring community ,A Grand Coalition for Digital Jobs Pledge of ECWT. Promis@Service and BCWT to support women’s business start ups and SMEs in taking up cloud based interactive services. multilingual content. e-Learning. compliance tools managed by PROMIS@Service and build communities of e-Mentors (STEM scientists and corporate business leaders) and Mentees (schools. universities) managed by ECWT.,open-networks,education-and-skills compliance e-skills,http://data.digitalsocial.eu/id/activity/1d1c7d70-67d2-9728-4392-4b91c66d7026,,,,,,1
